name,id
Рестораны Шымкент,370575530
Рестораны Тараз,760190820
Рестораны Атырау,369896090
Рестораны Алматы,365229650
Рестораны Семей,605665825
Рестораны Павлодар,371614010
Рестораны Караганда,369911330
Круглосуточные Рестораны Астана,1358526231
Рестораны Темиртау,371610050
Рестораны Актау,371753450
Рестораны Талдыкорган,371607410
Рестораны Капчагай,372772610
Рестораны Каскелен,371603810
Рестораны Усть-Каменогорск,371458610
Рестораны Астана,368170970
Рестораны Актобе,615793082
Рестораны Экибастуз,605789942
Круглосуточные Рестораны,632481497
